domain,credibility_rating,tranco_ranking,political_leaning
charlotteobserver.com,0.8433743168037371,3803,left
foreignaffairs.com,0.908608555363604,3805,left
newsnow.co.uk,0.777827174468062,3829,left
seattlepi.com,0.8677721663624449,3843,left
nature.org,0.808858945007468,3849,left
nybooks.com,0.7128016090345709,3862,left
tennessean.com,0.9497670159159092,3870,left
jezebel.com,0.493729304201801,3878,left
ballotpedia.org,0.8854905923813009,3891,left
elitedaily.com,0.5877263216470611,3909,left
inverse.com,0.81633964127538,3912,left
wn.com,0.8371243466206629,3920,left
cato.org,0.7851351550153322,3930,right
torontosun.com,0.5419558817312871,3931,right
futurism.com,0.88923906933246,3934,left
marieclaire.com,0.5186563851016389,3935,left
mindbodygreen.com,0.334992264005596,3937,left
tvguide.com,0.704671942120245,3942,left
epochtimes.com,0.4154505439943729,3961,right
dispatch.com,0.841321722825666,3976,left
thehindubusinessline.com,0.7249746329036171,3992,left
indystar.com,0.9572079946134878,4022,left
nzz.ch,0.693590529937674,4023,left
pastemagazine.com,0.567853751530665,4024,left
heraldsun.com.au,0.7606882244796641,4031,right
rki.de,0.632224854317393,4032,left
courant.com,0.892552226139136,4033,left
derstandard.at,0.6969331762621589,4047,left
iflscience.com,0.806033481715774,4048,left
mic.com,0.660068307927033,4050,left
outsideonline.com,0.5915494555570799,4070,left
techtimes.com,0.502439157653808,4073,left
sheknows.com,0.57152549470152,4077,left
parade.com,0.762765344566223,4082,left
democracynow.org,0.567120028248909,4084,left
meduza.io,0.547765682002747,4095,left
marketplace.org,0.6663356277880219,4106,left
thejakartapost.com,0.798983102425246,4109,left
townhall.com,0.273514170924363,4116,right
koreatimes.co.kr,0.771218258728216,4130,left
arabnews.com,0.483660732200409,4133,left
cancerresearchuk.org,0.7252841618544659,4138,left
desmoinesregister.com,0.8790153405414041,4148,left
9news.com.au,0.846750673616644,4153,left
peninsuladailynews.com,0.827427083731694,4165,left
themoscowtimes.com,0.7876231724750121,4173,left
worldstarhiphop.com,0.288824151569851,4174,left
wmo.int,0.7310868828519191,4175,left
instyle.com,0.6486457669656011,4180,left
aip.org,0.902425550461335,4201,left
rtbf.be,0.6430315416748921,4202,left
inquisitr.com,0.692387085055992,4205,left
techdirt.com,0.840277513870179,4213,left
poynter.org,0.8880428271553721,4218,left
deseret.com,0.761915453768765,4233,right
thediplomat.com,0.871165064239559,4239,left
radio-canada.ca,0.683117340614217,4245,left
theweathernetwork.com,0.6826523424185239,4246,left
oneindia.com,0.693461443695609,4253,left
scroll.in,0.7536410116163671,4255,left
globalresearch.ca,0.176169765597604,4261,left
dailywire.com,0.357498144984751,4272,right
citylab.com,0.8173961608973042,4273,left
marketingland.com,0.641552220634921,4279,left
collider.com,0.6690838296130539,4312,left
spectator.co.uk,0.7789243287809301,4325,left
nos.nl,0.775429000335308,4329,left
prevention.com,0.4244127800201401,4334,left
govtrack.us,0.854788060655499,4337,left
rsf.org,0.9260830097906708,4346,left
abc7.com,0.6467962423043772,4357,left
timesunion.com,0.861881719955617,4359,left
inews.co.uk,0.8433743168037371,4381,left
theringer.com,0.8356499849086909,4384,left
cincinnati.com,0.905571729093681,4390,left
lepoint.fr,0.57077820707132,4397,left
statesman.com,0.81633964127538,4402,left
ilfattoquotidiano.it,0.625454441202161,4404,left
healthychildren.org,0.496873039183808,4410,left
cgtn.com,0.568291215804543,4413,left
walesonline.co.uk,0.81633964127538,4454,left
syracuse.com,0.940444469429823,4484,left
wri.org,0.824123002582032,4503,left
eldiario.es,0.6013613106984971,4504,left
kiplinger.com,0.854788060655499,4507,right
ucsusa.org,0.7536410116163671,4508,left
taz.de,0.64280305900301,4510,left
acpjournals.org,0.645959515804345,4524,right
lung.org,0.8365743287916351,4539,left
care2.com,0.5913615489360939,4546,left
sierraclub.org,0.71119215099153,4550,left
opensecrets.org,0.921590582422343,4578,left
fastcodesign.com,0.685403029406808,4594,left
ktla.com,0.854788060655499,4595,left
wral.com,0.8772916053003509,4607,left
